T,alpha,run,final_rating,initial_rating,improvement,convergence_iter,execution_time,history
100,0.95,10,1.1186566110193286,0.9771186892890346,0.141537921730294,1500,60.00962734222412,"     iteration  temperature  current_rating  best_rating       time
0            0    100.00000        0.977119     0.977119   0.000000
1           80    100.00000        0.874061     1.004725   0.500300
2          260    100.00000        0.892889     1.004725   1.081243
3          320    100.00000        0.955520     1.004725   1.368382
4          360    100.00000        1.031624     1.048415   1.625042
..         ...          ...             ...          ...        ...
150       7300     69.83373        0.903608     1.118657  57.721859
151       7360     69.83373        0.936682     1.118657  57.922114
152       7380     69.83373        0.985814     1.118657  58.102680
153       7540     69.83373        0.900398     1.118657  59.738158
154       7560     69.83373        1.007021     1.118657  59.838363

[155 rows x 5 columns]"
100,0.95,11,1.106809928041201,0.9472521548194083,0.15955777322179265,6020,60.02175259590149,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.947252     0.947252   0.000000
1           20   100.000000        0.954810     1.025713   0.231536
2           80   100.000000        0.983911     1.025713   0.683179
3          100   100.000000        1.019461     1.061575   0.850060
4          160   100.000000        0.894103     1.061575   0.997902
..         ...          ...             ...          ...        ...
146      14140    48.767498        0.861852     1.106810  57.637913
147      14420    48.767498        1.048769     1.106810  58.570002
148      14460    48.767498        1.019744     1.106810  59.088008
149      14520    48.767498        0.912566     1.106810  59.386370
150      14580    48.767498        0.877916     1.106810  59.828770

[151 rows x 5 columns]"
100,0.95,12,0.9995886736196358,0.7672609605468691,0.23232771307276667,11480,60.024982929229736,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.767261     0.767261   0.000000
1         1620    95.000000        0.817596     0.834725   0.427838
2         2660    90.250000        0.859948     0.981929   1.410775
3         3800    85.737500        0.867115     0.981929   2.760843
4         4020    81.450625        0.792239     0.981929   3.313038
..         ...          ...             ...          ...        ...
126      58840     5.104687        0.809694     0.999589  58.251231
127      59120     4.849453        0.819086     0.999589  58.466960
128      59540     4.849453        0.832647     0.999589  58.866197
129      61340     4.376631        0.789500     0.999589  59.485604
130      61480     4.376631        0.856914     0.999589  59.799702

[131 rows x 5 columns]"
100,0.95,13,1.0363668295223953,0.8335415029057658,0.20282532661662955,20100,60.01916837692261,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.833542     0.833542   0.000000
1          360   100.000000        0.882368     0.882368   0.232421
2          460   100.000000        0.931392     0.944665   0.519605
3          480   100.000000        0.895259     0.944665   0.600966
4          780   100.000000        0.941382     0.973012   1.753380
..         ...          ...             ...          ...        ...
128      25500    27.738957        0.840812     1.036367  57.405000
129      25820    27.738957        0.796843     1.036367  58.188138
130      26160    26.352009        0.953576     1.036367  58.471298
131      26420    26.352009        0.822332     1.036367  58.855138
132      26920    26.352009        0.825218     1.036367  59.440918

[133 rows x 5 columns]"
100,0.95,14,1.2277547021573612,0.8827829682661517,0.3449717338912095,4000,60.0203697681427,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.882783     0.882783   0.000000
1           20   100.000000        0.964707     0.990806   0.098489
2           40   100.000000        0.908871     0.990806   0.249708
3           60   100.000000        0.916701     0.990806   0.500470
4          140   100.000000        0.913164     0.990806   0.999709
..         ...          ...             ...          ...        ...
155       8640    66.342043        1.025193     1.227755  58.766317
156       8660    66.342043        1.090386     1.227755  59.036928
157       8680    66.342043        1.063389     1.227755  59.256261
158       8720    66.342043        0.937326     1.227755  59.571186
159       8760    66.342043        1.028360     1.227755  59.972950

[160 rows x 5 columns]"
100,0.95,15,1.144878159887041,0.9503204360962285,0.1945577237908125,8480,60.02177357673645,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.950320     0.950320   0.000000
1           20   100.000000        1.038077     1.038077   0.147710
2           40   100.000000        0.968521     1.056013   0.412508
3           60   100.000000        0.951632     1.056013   0.597508
4           80   100.000000        1.000816     1.056013   0.749862
..         ...          ...             ...          ...        ...
140       8760    66.342043        0.913099     1.144878  58.001128
141       8780    66.342043        1.005924     1.144878  58.204701
142       8840    66.342043        0.850444     1.144878  58.546026
143       8960    66.342043        0.876541     1.144878  59.402456
144       9060    63.024941        1.006497     1.144878  59.921477

[145 rows x 5 columns]"
100,0.95,16,1.0776837243031057,0.8764870080136387,0.201196716289467,3100,60.03827691078186,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.876487     0.876487   0.000000
1           60   100.000000        0.932483     0.932483   0.285791
2          160   100.000000        0.939737     0.987093   0.972019
3          200   100.000000        0.943213     0.987093   1.334631
4          320   100.000000        0.871510     0.987093   1.833774
..         ...          ...             ...          ...        ...
144       9540    63.024941        0.872695     1.077684  57.957219
145       9560    63.024941        0.927774     1.077684  58.228051
146       9720    63.024941        0.852886     1.077684  59.207279
147       9740    63.024941        0.931808     1.077684  59.473607
148       9780    63.024941        0.853933     1.077684  59.892172

[149 rows x 5 columns]"
100,0.95,17,1.1900043594177059,0.7865579441050495,0.40344641531265635,4320,60.00706458091736,"     iteration  temperature  current_rating  best_rating       time
0            0   100.000000        0.786558     0.786558   0.000000
1          140   100.000000        0.871645     0.914056   0.282595
2          180   100.000000        0.961236     0.981376   0.547918
3          200   100.000000        0.925417     0.981376   0.749280
4          220   100.000000        0.923548     0.981376   0.899490
..         ...          ...             ...          ...        ...
154       6500    73.509189        0.975111     1.190004  57.609154
155       6540    73.509189        0.867227     1.190004  58.024884
156       6660    73.509189        0.939228     1.190004  58.953006
157       6700    73.509189        0.961143     1.190004  59.336533
158       6740    73.509189        0.969379     1.190004  59.870995

[159 rows x 5 columns]"
100,0.95,18,1.319995065914517,1.0807653646030777,0.23922970131143928,2540,60.03514528274536,"     iteration  temperature  current_rating  best_rating       time
0            0    100.00000        1.080765     1.080765   0.000000
1           20    100.00000        1.028299     1.151453   0.230808
2           40    100.00000        1.072118     1.151453   0.448928
3          100    100.00000        0.965416     1.151453   0.746056
4          180    100.00000        1.060665     1.151453   0.948643
..         ...          ...             ...          ...        ...
158       7180     69.83373        0.980242     1.319995  58.837368
159       7200     69.83373        1.000574     1.319995  58.981457
160       7220     69.83373        0.941654     1.319995  59.091720
161       7260     69.83373        1.104699     1.319995  59.273711
162       7280     69.83373        1.012179     1.319995  59.522886

[163 rows x 5 columns]"
100,0.95,19,1.211584976381928,1.1057816540800633,0.10580332230186462,5720,60.00658464431763,"     iteration  temperature  current_rating  best_rating       time
0            0    100.00000        1.105782     1.105782   0.000000
1           60    100.00000        0.865609     1.105782   0.499997
2          100    100.00000        1.040031     1.105782   0.800345
3          120    100.00000        0.923870     1.105782   0.900363
4          160    100.00000        0.889142     1.105782   1.432337
..         ...          ...             ...          ...        ...
148       7400     69.83373        0.939362     1.211585  57.893330
149       7420     69.83373        0.986601     1.211585  58.191518
150       7480     69.83373        0.983571     1.211585  58.771158
151       7500     69.83373        0.985107     1.211585  59.005171
152       7540     69.83373        0.978035     1.211585  59.372599

[153 rows x 5 columns]"
